"","x"
"1",1979-01-01
"2",1979-02-01
"3",1979-03-01
"4",1979-04-01
"5",1979-05-01
"6",1979-06-01
"7",1979-07-01
"8",1979-08-01
"9",1979-09-01
"10",1979-10-01
"11",1979-11-01
"12",1979-12-01
"13",1980-01-01
"14",1980-02-01
"15",1980-03-01
"16",1980-04-01
"17",1980-05-01
"18",1980-06-01
"19",1980-07-01
"20",1980-08-01
"21",1980-09-01
"22",1980-10-01
"23",1980-11-01
"24",1980-12-01
"25",1981-01-01
"26",1981-02-01
"27",1981-03-01
"28",1981-04-01
"29",1981-05-01
"30",1981-06-01
"31",1981-07-01
"32",1981-08-01
"33",1981-09-01
"34",1981-10-01
"35",1981-11-01
"36",1981-12-01
"37",1982-01-01
"38",1982-02-01
"39",1982-03-01
"40",1982-04-01
"41",1982-05-01
"42",1982-06-01
"43",1982-07-01
"44",1982-08-01
"45",1982-09-01
"46",1982-10-01
"47",1982-11-01
"48",1982-12-01
"49",1983-01-01
"50",1983-02-01
"51",1983-03-01
"52",1983-04-01
"53",1983-05-01
"54",1983-06-01
"55",1983-07-01
"56",1983-08-01
"57",1983-09-01
"58",1983-10-01
"59",1983-11-01
"60",1983-12-01
"61",1984-01-01
"62",1984-02-01
"63",1984-03-01
"64",1984-04-01
"65",1984-05-01
"66",1984-06-01
"67",1984-07-01
"68",1984-08-01
"69",1984-09-01
"70",1984-10-01
"71",1984-11-01
"72",1984-12-01
"73",1985-01-01
"74",1985-02-01
"75",1985-03-01
"76",1985-04-01
"77",1985-05-01
"78",1985-06-01
"79",1985-07-01
"80",1985-08-01
"81",1985-09-01
"82",1985-10-01
"83",1985-11-01
"84",1985-12-01
"85",1986-01-01
"86",1986-02-01
"87",1986-03-01
"88",1986-04-01
"89",1986-05-01
"90",1986-06-01
"91",1986-07-01
"92",1986-08-01
"93",1986-09-01
"94",1986-10-01
"95",1986-11-01
"96",1986-12-01
"97",1987-01-01
"98",1987-02-01
"99",1987-03-01
"100",1987-04-01
"101",1987-05-01
"102",1987-06-01
"103",1987-07-01
"104",1987-08-01
"105",1987-09-01
"106",1987-10-01
"107",1987-11-01
"108",1987-12-01
"109",1988-01-01
"110",1988-02-01
"111",1988-03-01
"112",1988-04-01
"113",1988-05-01
"114",1988-06-01
"115",1988-07-01
"116",1988-08-01
"117",1988-09-01
"118",1988-10-01
"119",1988-11-01
"120",1988-12-01
"121",1989-01-01
"122",1989-02-01
"123",1989-03-01
"124",1989-04-01
"125",1989-05-01
"126",1989-06-01
"127",1989-07-01
"128",1989-08-01
"129",1989-09-01
"130",1989-10-01
"131",1989-11-01
"132",1989-12-01
"133",1990-01-01
"134",1990-02-01
"135",1990-03-01
"136",1990-04-01
"137",1990-05-01
"138",1990-06-01
"139",1990-07-01
"140",1990-08-01
"141",1990-09-01
"142",1990-10-01
"143",1990-11-01
"144",1990-12-01
"145",1991-01-01
"146",1991-02-01
"147",1991-03-01
"148",1991-04-01
"149",1991-05-01
"150",1991-06-01
"151",1991-07-01
"152",1991-08-01
"153",1991-09-01
"154",1991-10-01
"155",1991-11-01
"156",1991-12-01
"157",1992-01-01
"158",1992-02-01
"159",1992-03-01
"160",1992-04-01
"161",1992-05-01
"162",1992-06-01
"163",1992-07-01
"164",1992-08-01
"165",1992-09-01
"166",1992-10-01
"167",1992-11-01
"168",1992-12-01
"169",1993-01-01
"170",1993-02-01
"171",1993-03-01
"172",1993-04-01
"173",1993-05-01
"174",1993-06-01
"175",1993-07-01
"176",1993-08-01
"177",1993-09-01
"178",1993-10-01
"179",1993-11-01
"180",1993-12-01
"181",1994-01-01
"182",1994-02-01
"183",1994-03-01
"184",1994-04-01
"185",1994-05-01
"186",1994-06-01
"187",1994-07-01
"188",1994-08-01
"189",1994-09-01
"190",1994-10-01
"191",1994-11-01
"192",1994-12-01
"193",1995-01-01
"194",1995-02-01
"195",1995-03-01
"196",1995-04-01
"197",1995-05-01
"198",1995-06-01
"199",1995-07-01
"200",1995-08-01
"201",1995-09-01
"202",1995-10-01
"203",1995-11-01
"204",1995-12-01
"205",1996-01-01
"206",1996-02-01
"207",1996-03-01
"208",1996-04-01
"209",1996-05-01
"210",1996-06-01
"211",1996-07-01
"212",1996-08-01
"213",1996-09-01
"214",1996-10-01
"215",1996-11-01
"216",1996-12-01
"217",1997-01-01
"218",1997-02-01
"219",1997-03-01
"220",1997-04-01
"221",1997-05-01
"222",1997-06-01
"223",1997-07-01
"224",1997-08-01
"225",1997-09-01
"226",1997-10-01
"227",1997-11-01
"228",1997-12-01
"229",1998-01-01
"230",1998-02-01
"231",1998-03-01
"232",1998-04-01
"233",1998-05-01
"234",1998-06-01
"235",1998-07-01
"236",1998-08-01
"237",1998-09-01
"238",1998-10-01
"239",1998-11-01
"240",1998-12-01
"241",1999-01-01
"242",1999-02-01
"243",1999-03-01
