Year.month.day,airT
1978.12.31,258.8333383
1979.01.31,248.7090125
1979.02.28,253.19577
1979.03.31,262.119862
1979.05.01,269.931057
1979.06.01,274.6544174
1979.07.01,279.2004921
1979.08.01,281.2022757
1979.09.01,281.1086218
1979.10.01,276.3173255
1979.10.31,263.9597644
1979.11.30,247.9303885
1979.12.31,248.0973468
1980.01.31,253.0212827
1980.02.29,256.6848794
1980.03.31,260.2065729
1980.05.01,270.0793905
1980.06.01,273.5875897
1980.07.01,277.2437166
1980.08.01,278.9934303
1980.09.01,277.7506922
1980.10.01,274.4132755
1980.10.31,258.327861
1980.11.30,248.4444159
1980.12.31,255.1829346
1981.01.31,252.5474523
1981.02.28,255.4473378
1981.03.31,264.5619887
1981.05.01,270.7935592
1981.06.01,274.787195
1981.07.01,278.4787955
1981.08.01,279.3710199
1981.09.01,277.3151325
1981.10.01,274.1490641
1981.10.31,256.4722653
1981.11.30,251.3328088
1981.12.31,252.2831645
1982.01.31,258.6781488
1982.02.28,256.2491848
1982.03.31,261.7885156
1982.05.01,269.5547588
1982.06.01,273.8970941
1982.07.01,279.017926
1982.08.01,279.8922141
1982.09.01,278.4121326
1982.10.01,274.3041088
1982.10.31,259.3661458
1982.11.30,251.8843051
1982.12.31,247.5816767
1983.01.31,248.8139357
1983.02.28,251.581541
1983.03.31,262.7581484
1983.05.01,268.9962003
1983.06.01,272.6388153
1983.07.01,277.2221243
1983.08.01,279.4675298
1983.09.01,276.5400986
1983.10.01,269.9573014
1983.10.31,257.8164072
1983.11.30,257.8753007
1983.12.31,253.7362922
1984.01.31,246.0385295
1984.02.29,252.3287081
1984.03.31,256.5421688
1984.05.01,267.8587787
1984.06.01,274.0128147
1984.07.01,278.1271255
1984.08.01,278.1575449
1984.09.01,277.0115702
1984.10.01,274.4177519
1984.10.31,260.8639538
1984.11.30,251.5670944
1984.12.31,255.1266212
1985.01.31,253.3013913
1985.02.28,253.8196781
1985.03.31,256.6418391
1985.05.01,270.4694361
1985.06.01,272.3920629
1985.07.01,276.6941438
1985.08.01,280.678365
1985.09.01,278.0887328
1985.10.01,274.5918992
1985.10.31,261.3796431
1985.11.30,255.2125957
1985.12.31,248.3848734
1986.01.31,254.6022291
1986.02.28,252.3760486
1986.03.31,260.4198387
1986.05.01,270.2906738
1986.06.01,275.4637915
1986.07.01,279.3800861
1986.08.01,279.8415278
1986.09.01,278.1234266
1986.10.01,273.6874862
1986.10.31,265.6317119
1986.11.30,253.2780406
1986.12.31,250.6458667
1987.01.31,246.2877199
1987.02.28,254.8764889
1987.03.31,259.8196366
1987.05.01,270.3590892
1987.06.01,272.820752
1987.07.01,277.9557566
1987.08.01,279.3543866
1987.09.01,276.9202349
1987.10.01,274.6012444
1987.10.31,260.9428903
1987.11.30,250.6789472
1987.12.31,254.1872178
1988.01.31,250.1772827
1988.02.29,252.0447785
1988.03.31,262.4175567
1988.05.01,269.9275611
1988.06.01,272.9236546
1988.07.01,277.1595395
1988.08.01,278.4722956
1988.09.01,277.5704571
1988.10.01,274.1839362
1988.10.31,255.4113567
1988.11.30,255.0521655
1988.12.31,249.0294076
1989.01.31,263.7956991
1989.02.28,259.6558288
1989.03.31,265.1545582
1989.05.01,270.1161473
1989.06.01,274.6431758
1989.07.01,279.2941869
1989.08.01,280.1229908
1989.09.01,278.7140841
1989.10.01,276.5322894
1989.10.31,262.4866584
1989.11.30,254.1816192
1989.12.31,247.826953
1990.01.31,247.6997369
1990.02.28,255.4765096
1990.03.31,265.0641598
1990.05.01,271.977791
1990.06.01,274.6393428
1990.07.01,279.7065919
1990.08.01,281.4803616
1990.09.01,278.5837876
1990.10.01,275.1327424
1990.10.31,265.876027
1990.11.30,251.515052
1990.12.31,252.2769042
1991.01.31,250.0847911
1991.02.28,254.3228881
1991.03.31,263.7545312
1991.05.01,271.0561495
1991.06.01,274.1127032
1991.07.01,279.8544113
1991.08.01,281.0772107
1991.09.01,279.741855
1991.10.01,276.2184102
1991.10.31,269.9282759
1991.11.30,250.6225144
1991.12.31,248.7586076
1992.01.31,250.0329671
1992.02.29,253.7741387
1992.03.31,265.1613233
1992.05.01,269.9621402
1992.06.01,273.4668007
1992.07.01,278.8201625
1992.08.01,279.012692
1992.09.01,277.1439154
1992.10.01,271.8175928
1992.10.31,259.3035364
1992.11.30,251.0440776
1992.12.31,254.3117072
1993.01.31,254.269704
1993.02.28,255.1103084
1993.03.31,263.2417973
1993.05.01,270.4241186
1993.06.01,274.1503966
1993.07.01,279.9584529
1993.08.01,280.4035008
1993.09.01,277.8369743
1993.10.01,273.4830916
1993.10.31,262.2740814
1993.11.30,249.9916121
1993.12.31,245.8061093
1994.01.31,254.2531313
1994.02.28,250.0980036
1994.03.31,260.6962485
1994.05.01,270.734848
1994.06.01,272.5365788
1994.07.01,277.3711912
1994.08.01,279.4191935
1994.09.01,278.0394955
1994.10.01,268.8640368
1994.10.31,253.7029879
1994.11.30,250.000156
1994.12.31,251.1872257
1995.01.31,251.6557263
1995.02.28,254.1572933
1995.03.31,263.7687579
1995.05.01,271.0258673
1995.06.01,273.6846262
1995.07.01,278.8059679
1995.08.01,280.3985419
1995.09.01,279.6017909
1995.10.01,275.3714872
1995.10.31,269.9162425
1995.11.30,250.7824631
1995.12.31,252.9952685
1996.01.31,251.1120687
1996.02.29,261.190814
1996.03.31,261.030762
1996.05.01,271.734135
1996.06.01,275.3466933
1996.07.01,279.9296825
1996.08.01,280.8176276
1996.09.01,278.9431974
1996.10.01,274.5109484
1996.10.31,271.4777784
1996.11.30,253.5974533
1996.12.31,251.1593361
1997.01.31,251.1919816
1997.02.28,253.9285892
1997.03.31,265.8023305
1997.05.01,271.8049502
1997.06.01,275.6567538
1997.07.01,280.2768889
1997.08.01,281.3032646
1997.09.01,280.5660655
1997.10.01,276.4782762
1997.10.31,269.123258
1997.11.30,249.3793937
