Year.month.day,hgt
1978.12.31,8909.938692
1979.01.31,9659.926889
1979.02.28,8578.660946
1979.03.31,8882.390188
1979.05.01,9651.208515
1979.06.01,9802.402794
1979.07.01,10120.10355
1979.08.01,9933.615149
1979.09.01,9794.942176
1979.10.01,9094.670194
1979.10.31,8363.548707
1979.11.30,8620.533448
1979.12.31,9238.27623
1980.01.31,8957.816851
1980.02.29,8362.046029
1980.03.31,8474.655202
1980.05.01,9374.244104
1980.06.01,9238.714024
1980.07.01,10481.32281
1980.08.01,10051.08387
1980.09.01,10200.15345
1980.10.01,8722.06789
1980.10.31,8840.21239
1980.11.30,9648.799237
1980.12.31,9144.654903
1981.01.31,8661.515956
1981.02.28,8755.281349
1981.03.31,9161.606919
1981.05.01,9811.163853
1981.06.01,9579.114685
1981.07.01,9938.215358
1981.08.01,10009.04515
1981.09.01,9286.731896
1981.10.01,8710.726452
1981.10.31,8613.753777
1981.11.30,8705.480362
1981.12.31,9083.045111
1982.01.31,9310.942454
1982.02.28,8702.577789
1982.03.31,8524.394645
1982.05.01,8863.676175
1982.06.01,9577.985292
1982.07.01,10231.74893
1982.08.01,10771.73821
1982.09.01,9469.076243
1982.10.01,8694.582848
1982.10.31,9172.361667
1982.11.30,9157.690817
1982.12.31,9319.113311
1983.01.31,8627.279044
1983.02.28,8689.98036
1983.03.31,8624.329876
1983.05.01,9585.43644
1983.06.01,9792.714464
1983.07.01,10369.96054
1983.08.01,9705.107452
1983.09.01,9382.265207
1983.10.01,9103.444774
1983.10.31,8839.444795
1983.11.30,9666.726317
1983.12.31,8683.648681
1984.01.31,7704.878067
1984.02.29,8534.179891
1984.03.31,7624.670341
1984.05.01,8659.266453
1984.06.01,9788.827429
1984.07.01,10225.60591
1984.08.01,9887.940009
1984.09.01,9836.386151
1984.10.01,9937.010195
1984.10.31,9183.217736
1984.11.30,8605.851999
1984.12.31,8644.417983
1985.01.31,8242.448831
1985.02.28,7948.651485
1985.03.31,7925.764872
1985.05.01,8829.829751
1985.06.01,9701.759107
1985.07.01,10694.93028
1985.08.01,10002.44326
1985.09.01,9306.725547
1985.10.01,8917.069597
1985.10.31,9623.293774
1985.11.30,9103.814887
1985.12.31,8420.488253
1986.01.31,9264.129954
1986.02.28,8605.269565
1986.03.31,8274.401364
1986.05.01,9128.715552
1986.06.01,10058.88634
1986.07.01,10736.10039
1986.08.01,9984.819756
1986.09.01,9468.197218
1986.10.01,9757.470277
1986.10.31,9782.040268
1986.11.30,8876.215967
1986.12.31,8277.338363
1987.01.31,8371.324901
1987.02.28,9306.083714
1987.03.31,8796.995924
1987.05.01,8974.556923
1987.06.01,9714.654854
1987.07.01,10344.87598
1987.08.01,11113.03334
1987.09.01,9104.452155
1987.10.01,8840.196081
1987.10.31,8346.942996
1987.11.30,8235.780889
1987.12.31,9513.5314
1988.01.31,9033.233492
1988.02.29,8922.813727
1988.03.31,8695.300889
1988.05.01,9254.178205
1988.06.01,9696.973543
1988.07.01,10670.98315
1988.08.01,10457.62708
1988.09.01,9865.996694
1988.10.01,9399.209095
1988.10.31,8274.358828
1988.11.30,8943.636031
1988.12.31,8682.201528
1989.01.31,9253.558964
1989.02.28,9048.088205
1989.03.31,8786.672091
1989.05.01,8948.677984
1989.06.01,10188.41836
1989.07.01,10374.02852
1989.08.01,10089.14365
1989.09.01,10018.97715
1989.10.01,9190.067089
1989.10.31,8722.702523
1989.11.30,9108.042596
1989.12.31,8273.945825
1990.01.31,7859.545879
1990.02.28,9370.088954
1990.03.31,9913.177121
1990.05.01,9529.106839
1990.06.01,9978.610159
1990.07.01,10610.08599
1990.08.01,10410.38389
1990.09.01,9221.213364
1990.10.01,9165.014196
1990.10.31,8859.402513
1990.11.30,9444.45151
1990.12.31,9044.91624
1991.01.31,8412.054865
1991.02.28,8700.903127
1991.03.31,8668.342557
1991.05.01,9372.417885
1991.06.01,10132.25636
1991.07.01,10305.86339
1991.08.01,10524.58431
1991.09.01,10051.4299
1991.10.01,9605.134884
1991.10.31,9485.143459
1991.11.30,8735.832669
1991.12.31,8617.375832
1992.01.31,8428.770748
1992.02.29,8113.156143
1992.03.31,9481.149403
1992.05.01,9287.498727
1992.06.01,10044.49771
1992.07.01,10425.76741
1992.08.01,10006.94036
1992.09.01,9046.041323
1992.10.01,9129.879577
1992.10.31,8537.169764
1992.11.30,8775.71869
1992.12.31,8566.494308
1993.01.31,9196.70323
1993.02.28,9024.998202
1993.03.31,8768.443709
1993.05.01,9511.550206
1993.06.01,9862.470396
1993.07.01,11046.10674
1993.08.01,10011.4367
1993.09.01,8989.038781
1993.10.01,8987.054179
1993.10.31,8727.264885
1993.11.30,8392.572881
1993.12.31,8606.984811
1994.01.31,9642.559286
1994.02.28,8149.520385
1994.03.31,8226.817708
1994.05.01,9093.782247
1994.06.01,9622.561332
1994.07.01,10112.77025
1994.08.01,10171.8991
1994.09.01,9901.790464
1994.10.01,8662.382573
1994.10.31,8662.33828
1994.11.30,9030.837987
1994.12.31,8299.768908
1995.01.31,9172.221504
1995.02.28,9108.394556
1995.03.31,8902.662493
1995.05.01,9587.756172
1995.06.01,9388.709082
1995.07.01,10790.18761
1995.08.01,10407.8554
1995.09.01,9785.065947
1995.10.01,8978.618529
1995.10.31,9521.958877
1995.11.30,9879.988366
1995.12.31,9333.801805
1996.01.31,8486.943393
1996.02.29,9406.976585
1996.03.31,8577.382862
1996.05.01,9966.877265
1996.06.01,10046.82273
1996.07.01,10437.12424
1996.08.01,10081.86341
1996.09.01,9535.804713
1996.10.01,8956.285693
1996.10.31,8855.261142
1996.11.30,9189.08333
1996.12.31,8817.754858
1997.01.31,9144.976112
1997.02.28,9925.915207
1997.03.31,9800.638487
1997.05.01,9609.662217
1997.06.01,10133.4075
1997.07.01,10054.84427
1997.08.01,10456.06926
1997.09.01,9927.086301
1997.10.01,9038.237655
1997.10.31,8439.087152
1997.11.30,7702.018646
1997.12.31,8567.010497
1998.01.31,8802.608526
1998.02.28,9080.656601
1998.03.31,8967.062375
1998.05.01,9081.494826
1998.06.01,9661.40549
1998.07.01,10448.42604
1998.08.01,9686.089197
1998.09.01,9427.414094
1998.10.01,9323.527965
1998.10.31,9220.008877
1998.11.30,8644.873857
1998.12.31,8143.559167
1999.01.31,8191.200986
1999.02.28,8268.3323
1999.03.31,8407.16509
1999.05.01,9096.860767
1999.06.01,9888.191962
1999.07.01,10608.04295
1999.08.01,9890.756738
1999.09.01,9867.467352
