Year.month.day,rhum
1978.12.31,88.27498686
1979.01.31,81.87725554
1979.02.28,82.74669127
1979.03.31,86.04776232
1979.05.01,92.87935193
1979.06.01,93.16469848
1979.07.01,92.34713009
1979.08.01,93.94273272
1979.09.01,85.11585762
1979.10.01,84.6479527
1979.10.31,85.23593411
1979.11.30,80.90897954
1979.12.31,81.08188377
1980.01.31,83.83092757
1980.02.29,84.27767036
1980.03.31,85.05891273
1980.05.01,92.40793879
1980.06.01,96.286731
1980.07.01,94.50095748
1980.08.01,90.71435099
1980.09.01,86.84061132
1980.10.01,85.17740959
1980.10.31,85.14358379
1980.11.30,81.05871143
1980.12.31,84.39519516
1981.01.31,82.74193055
1981.02.28,83.71031269
1981.03.31,85.88099142
1981.05.01,92.25444337
1981.06.01,91.57465186
1981.07.01,92.14090901
1981.08.01,89.76613925
1981.09.01,86.63692723
1981.10.01,84.13180287
1981.10.31,84.9369463
1981.11.30,83.21592467
1981.12.31,83.46140383
1982.01.31,86.91485603
1982.02.28,83.16151098
1982.03.31,83.8508351
1982.05.01,89.97951749
1982.06.01,94.19343637
1982.07.01,91.23616688
1982.08.01,91.68226906
1982.09.01,89.33611068
1982.10.01,80.72343851
1982.10.31,86.34342595
1982.11.30,82.83480859
1982.12.31,80.69345706
1983.01.31,80.22682229
1983.02.28,81.62899676
1983.03.31,86.9335595
1983.05.01,89.33012234
1983.06.01,93.19471466
1983.07.01,93.60604998
1983.08.01,91.12466298
1983.09.01,86.84227575
1983.10.01,87.02361954
1983.10.31,86.32954349
1983.11.30,88.01244111
1983.12.31,83.48075903
1984.01.31,76.71043537
1984.02.29,81.4948853
1984.03.31,79.77373676
1984.05.01,87.83079606
1984.06.01,93.46160518
1984.07.01,90.77460081
1984.08.01,90.2818312
1984.09.01,91.00303885
1984.10.01,86.62708237
1984.10.31,84.94057724
1984.11.30,82.14426588
1984.12.31,85.24245266
1985.01.31,82.88025452
1985.02.28,81.25011809
1985.03.31,81.2547832
1985.05.01,90.86322025
1985.06.01,95.21418913
1985.07.01,93.17858235
1985.08.01,90.36918364
1985.09.01,85.04929827
1985.10.01,84.66917984
1985.10.31,88.71726121
1985.11.30,84.78343811
1985.12.31,79.76672432
1986.01.31,85.36785962
1986.02.28,81.7886351
1986.03.31,83.94496579
1986.05.01,88.8599274
1986.06.01,91.52910105
1986.07.01,91.67898339
1986.08.01,90.52721243
1986.09.01,85.42883175
1986.10.01,83.52580046
1986.10.31,87.80306512
1986.11.30,83.66135533
1986.12.31,81.47314473
1987.01.31,78.07027445
1987.02.28,83.53293914
1987.03.31,82.976394
1987.05.01,92.02767386
1987.06.01,93.65252787
1987.07.01,93.08725808
1987.08.01,92.91310306
1987.09.01,84.44955843
1987.10.01,86.16570421
1987.10.31,84.12588924
1987.11.30,81.65413614
1987.12.31,85.09428191
1988.01.31,81.23663009
1988.02.29,81.22130426
1988.03.31,87.15184321
1988.05.01,92.69479187
1988.06.01,94.79171813
1988.07.01,92.9883857
1988.08.01,92.22640564
1988.09.01,88.86576963
1988.10.01,84.03905369
1988.10.31,82.17571774
1988.11.30,84.4797833
1988.12.31,79.72476372
1989.01.31,89.54915645
1989.02.28,86.30965402
1989.03.31,86.5714926
1989.05.01,90.32438906
1989.06.01,92.49846206
1989.07.01,92.0334304
1989.08.01,93.74701391
1989.09.01,88.15639318
1989.10.01,81.91813639
1989.10.31,82.77780453
1989.11.30,84.43767182
1989.12.31,79.63881212
1990.01.31,78.55496668
1990.02.28,84.20911866
1990.03.31,88.45392151
1990.05.01,93.85795388
1990.06.01,92.52622952
1990.07.01,91.59777572
1990.08.01,91.73488457
1990.09.01,84.19428401
1990.10.01,83.81556964
1990.10.31,84.43348988
1990.11.30,81.03744872
1990.12.31,82.36579512
1991.01.31,80.64540187
1991.02.28,81.7758717
1991.03.31,87.63210205
1991.05.01,93.51317643
1991.06.01,92.19791735
1991.07.01,90.13266691
1991.08.01,88.38594269
1991.09.01,86.90639891
1991.10.01,85.2890812
1991.10.31,82.45961438
1991.11.30,81.8025733
1991.12.31,80.44958408
1992.01.31,81.38492951
1992.02.29,81.7793731
1992.03.31,85.65842389
1992.05.01,89.69253525
1992.06.01,93.8211485
1992.07.01,90.99263823
1992.08.01,90.722064
1992.09.01,79.54678782
1992.10.01,85.10943305
1992.10.31,85.99385955
1992.11.30,82.35396183
1992.12.31,82.99940147
1993.01.31,84.52606738
1993.02.28,83.06773672
1993.03.31,87.67569641
1993.05.01,92.0052171
1993.06.01,91.70322319
1993.07.01,91.08300709
1993.08.01,89.07262956
1993.09.01,83.64136939
1993.10.01,87.04920806
1993.10.31,85.19348635
1993.11.30,80.95504732
1993.12.31,78.95263402
1994.01.31,84.37796034
