Year.month.day,wspd
1978.12.31,3.956679946
1979.01.31,2.838597157
1979.02.28,5.196339756
1979.03.31,4.283060714
1979.05.01,3.391474089
1979.06.01,3.90101902
1979.07.01,5.529417287
1979.08.01,4.608987604
1979.09.01,6.806727421
1979.10.01,8.978342847
1979.10.31,6.906735432
1979.11.30,3.41832813
1979.12.31,3.456958934
1980.01.31,4.655451633
1980.02.29,4.281432166
1980.03.31,5.485833293
1980.05.01,3.731231409
1980.06.01,3.314194441
1980.07.01,3.888237366
1980.08.01,6.38927263
1980.09.01,7.057372602
1980.10.01,6.376597734
1980.10.31,4.54410692
1980.11.30,3.392047511
1980.12.31,4.646498035
1981.01.31,4.357514781
1981.02.28,4.792521205
1981.03.31,2.74293129
1981.05.01,3.200885603
1981.06.01,4.220488231
1981.07.01,4.964043799
1981.08.01,6.502429856
1981.09.01,6.758682756
1981.10.01,6.995451692
1981.10.31,5.256428282
1981.11.30,4.057467101
1981.12.31,4.260245081
1982.01.31,3.904791151
1982.02.28,4.024500754
1982.03.31,4.34000692
1982.05.01,3.335156307
1982.06.01,3.757188011
1982.07.01,4.570852902
1982.08.01,4.624054732
1982.09.01,7.307124282
1982.10.01,7.313291163
1982.10.31,5.657155705
1982.11.30,4.97284931
1982.12.31,3.711263029
1983.01.31,4.40079469
1983.02.28,4.750489751
1983.03.31,4.057525993
1983.05.01,3.549835094
1983.06.01,2.933652978
1983.07.01,3.922313469
1983.08.01,5.116346403
1983.09.01,5.302316887
1983.10.01,6.82916234
1983.10.31,4.975243716
1983.11.30,4.747477314
1983.12.31,3.9904155
1984.01.31,4.65807837
1984.02.29,4.615572853
1984.03.31,3.279207944
1984.05.01,2.687242543
1984.06.01,3.365482826
1984.07.01,6.100262923
1984.08.01,5.162501235
1984.09.01,5.410009057
1984.10.01,8.288771174
1984.10.31,6.73510863
1984.11.30,4.176141317
1984.12.31,4.864966355
1985.01.31,3.888896834
1985.02.28,4.211535747
1985.03.31,3.697229199
1985.05.01,3.760134785
1985.06.01,3.266653056
1985.07.01,4.277499718
1985.08.01,4.57816532
1985.09.01,5.897763057
1985.10.01,8.564136005
1985.10.31,4.77733073
1985.11.30,4.882628701
1985.12.31,5.351364767
1986.01.31,3.485090422
1986.02.28,3.821506396
1986.03.31,3.25938655
1986.05.01,3.393842118
1986.06.01,3.631561387
1986.07.01,5.285262009
1986.08.01,5.359372469
1986.09.01,6.037142999
1986.10.01,6.329051399
1986.10.31,5.707451055
1986.11.30,5.584470796
1986.12.31,5.057375739
1987.01.31,5.231235481
1987.02.28,4.278758244
1987.03.31,4.504855998
1987.05.01,3.321567756
1987.06.01,3.36650313
1987.07.01,4.482968033
1987.08.01,5.242048407
1987.09.01,6.735020429
1987.10.01,6.993016987
1987.10.31,7.016656964
1987.11.30,4.780830194
1987.12.31,4.292545635
1988.01.31,4.431149381
1988.02.29,4.086370998
1988.03.31,3.844575201
1988.05.01,4.37269282
1988.06.01,2.516995529
1988.07.01,4.384341827
1988.08.01,6.674718428
1988.09.01,5.965483292
1988.10.01,5.775567891
1988.10.31,5.876210365
1988.11.30,4.418201506
1988.12.31,3.636904255
1989.01.31,5.830250869
1989.02.28,3.914663227
1989.03.31,4.203443312
1989.05.01,3.534677157
1989.06.01,3.806346038
1989.07.01,5.53232368
1989.08.01,4.994092943
1989.09.01,7.05031792
1989.10.01,6.756624259
1989.10.31,7.088515464
1989.11.30,4.130065786
1989.12.31,4.791116986
1990.01.31,3.234861014
1990.02.28,3.212173342
1990.03.31,3.05987864
1990.05.01,2.579164194
1990.06.01,3.854764869
1990.07.01,5.559364116
1990.08.01,5.159723569
1990.09.01,6.684062841
1990.10.01,7.41761497
1990.10.31,6.536692372
1990.11.30,3.992439931
1990.12.31,4.443554269
1991.01.31,4.803669516
1991.02.28,3.791346337
1991.03.31,3.440951074
1991.05.01,3.271313227
1991.06.01,2.909042253
1991.07.01,5.620097888
1991.08.01,5.056443849
1991.09.01,7.423021119
1991.10.01,6.430458302
1991.10.31,6.350259829
1991.11.30,4.006969324
1991.12.31,4.075210949
1992.01.31,3.896066062
1992.02.29,3.595482611
1992.03.31,3.022665325
1992.05.01,3.303294062
1992.06.01,2.788826636
1992.07.01,5.049991476
1992.08.01,5.591884823
1992.09.01,6.857836009
1992.10.01,6.06707957
1992.10.31,4.820490405
1992.11.30,4.655708584
1992.12.31,3.464839917
1993.01.31,4.139902859
1993.02.28,3.31621541
1993.03.31,4.60861335
1993.05.01,3.169123087
1993.06.01,4.012291055
1993.07.01,5.128648843
1993.08.01,4.686872248
1993.09.01,7.845516228
1993.10.01,5.794389023
1993.10.31,5.453185408
1993.11.30,5.755187142
1993.12.31,4.042610742
1994.01.31,3.555131226
1994.02.28,4.647763944
1994.03.31,4.527121044
1994.05.01,3.558835315
1994.06.01,2.500538101
1994.07.01,3.785389103
1994.08.01,6.726647573
1994.09.01,7.61362537
1994.10.01,5.993936301
1994.10.31,3.973775259
1994.11.30,4.564537706
1994.12.31,4.010355805
1995.01.31,3.300642671
1995.02.28,2.931999053
1995.03.31,4.147869542
1995.05.01,3.31174613
1995.06.01,3.140677098
1995.07.01,5.503356751
1995.08.01,4.546863941
1995.09.01,6.305431975
1995.10.01,6.695255898
1995.10.31,5.811744669
1995.11.30,4.891471511
1995.12.31,3.557832173
1996.01.31,4.216667395
1996.02.29,3.883887008
1996.03.31,4.479633771
1996.05.01,3.693119387
1996.06.01,5.469677646
1996.07.01,5.781750013
1996.08.01,5.322353314
1996.09.01,7.852084357
1996.10.01,6.065959585
1996.10.31,7.896049248
1996.11.30,3.73350182
1996.12.31,4.346905225
1997.01.31,3.847646951
1997.02.28,3.363904372
1997.03.31,2.768009117
1997.05.01,2.931997479
1997.06.01,4.711213435
1997.07.01,5.520550265
1997.08.01,5.399177779
1997.09.01,6.13605425
1997.10.01,6.350142181
1997.10.31,6.74474687
1997.11.30,5.336602858
1997.12.31,5.186545677
1998.01.31,5.394356283
1998.02.28,3.334819939
1998.03.31,3.681796628
1998.05.01,3.617020936
1998.06.01,2.850086607
1998.07.01,4.878837291
1998.08.01,6.629993789
1998.09.01,6.783392684
1998.10.01,7.372124543
1998.10.31,7.465545709
1998.11.30,4.177099321
1998.12.31,3.508211003
1999.01.31,4.030186666
1999.02.28,4.664706657
1999.03.31,4.36501016
1999.05.01,2.791545005
1999.06.01,2.914026997
1999.07.01,6.159357493
1999.08.01,6.141699931
1999.09.01,5.43210024
1999.10.01,7.460866056
1999.10.31,4.40984753
1999.11.30,4.103278568
1999.12.31,4.679112902
2000.01.31,5.195803188
2000.02.29,5.334251755
2000.03.31,3.521709253
2000.05.01,2.63027245
2000.06.01,3.357049217
